accession,organism_name,tax_id,fppl_name,priority,release_date,assembly_level,collection_date,geo_loc_name,host,isolation_source,host_disease,env_broad_scale,host_category,submitter,submitter_category,biosample_owner,assembly_submitter,bioproject_accession,genome_size_bp,gc_percent
GCA_002222245.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2017-07-20,Scaffold,,,,,,,unknown,EBI,research_institute,EBI,Broad Institute,PRJNA193063,18610299,48.0
GCA_003011985.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2018-03-20,Scaffold,,,Homo sapiens,,Cryptococossis,,human,Jawaharlal Nehru Centre for Advanced Scientific Research,other,Jawaharlal Nehru Centre for Advanced Scientific Research,Jawaharlal Nehru Centre for Advanced Scientific Research,PRJNA395628,18928706,48.0
GCA_010065285.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-02-10,Chromosome,,Botswana,mopane,tree,,,plant,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA517966,19053773,48.0
GCA_010065295.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-02-10,Chromosome,,Botswana,Homo sapiens,,,,human,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA517966,18890083,48.0
GCA_010065305.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-02-10,Chromosome,,USA,Homo sapiens,,,,human,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA517966,18861353,48.0
GCA_010065315.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-02-10,Chromosome,,Botswana,Homo sapiens,,,,human,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA517966,19099673,48.5
GCA_010065385.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-02-10,Chromosome,,Botswana,Homo sapiens,,,,human,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA517966,19047920,48.0
GCA_010065405.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-02-10,Chromosome,,USA,pigeon,pigeon guano,,,animal,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA517966,18933914,48.0
GCA_010233705.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-02-06,Complete Genome,,South Africa,Eucalyptus,tree,,,plant,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA517966,19163645,48.5
GCA_010233735.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-02-06,Complete Genome,,USA,pigeon,pigeon guano,,,animal,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA517966,19207018,48.0
GCA_011057475.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-03-02,Contig,2019,USA: Durham,,Laboratory experiment,,,laboratory,Duke University,university,Duke University,Duke University,PRJNA577944,19088103,48.0
GCA_011057515.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-03-02,Contig,2019,USA: Durham,,Laboratory experiment,,,laboratory,Duke University,university,Duke University,Duke University,PRJNA577944,19299987,48.0
GCA_011057545.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-03-02,Contig,2019,USA: Durham,,Laboratory experiment,,,laboratory,Duke University,university,Duke University,Duke University,PRJNA577944,19045361,48.0
GCA_011057555.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-03-02,Contig,2019,USA: Durham,,Laboratory experiment,,,laboratory,Duke University,university,Duke University,Duke University,PRJNA577944,19454758,48.0
GCA_011057565.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2020-03-02,Contig,2019,USA: Durham,,Laboratory experiment,,,laboratory,Duke University,university,Duke University,Duke University,PRJNA577944,19125078,48.0
GCA_019969275.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2011-10,Colombia: Cauca,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18514701,48.0
GCA_019969285.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2010-12,Colombia: Atlantico,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18409689,48.0
GCA_019969295.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2011-08,Colombia: Cundinamarca,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18227270,48.0
GCA_019970125.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-12,Colombia: Valle,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18421720,48.0
GCA_019970135.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2008-05,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18467852,48.0
GCA_019970145.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2008-11,Colombia: Meta,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18426390,48.0
GCA_019970155.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-01,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18419377,48.0
GCA_019970185.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2009-10,Colombia: Antioquia,Homo sapiens,,Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18474487,48.0
GCA_019970275.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2007-01,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18236436,48.0
GCA_019970285.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-01,Colombia: Antioquia,Homo sapiens,Biopsy,Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18468382,48.0
GCA_019970295.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2007-06,Colombia: Valle,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18470991,48.0
GCA_019970315.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2007-02,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18402380,48.0
GCA_019970345.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2007-03,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18398296,48.0
GCA_019970415.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-12,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18417095,48.0
GCA_019970445.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2007-01,Colombia: Valle,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18456890,48.0
GCA_019970455.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-11,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18408465,48.0
GCA_019970465.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-01,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18455607,48.0
GCA_019970475.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-01,Colombia: Antioquia,Homo sapiens,BAL (bronchoalveolar lavage),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18465686,48.0
GCA_019970565.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-08,Colombia: Antioquia,Homo sapiens,,Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18475867,48.0
GCA_019970585.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-06,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18457238,48.0
GCA_019970605.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-06,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18374993,48.0
GCA_019970615.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-01,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18479852,48.0
GCA_019970625.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-01,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18463623,48.0
GCA_019970715.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-04,Colombia: Antioquia,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18448616,48.0
GCA_019970725.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2005-12,Colombia: Norte de santander,Homo sapiens,CSF (cerebrospinal fluid),Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18415304,48.0
GCA_019970755.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2006-01,Colombia: Antioquia,Homo sapiens,Biopsy,Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18415571,48.0
GCA_019970785.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2009-07,Colombia: Antioquia,Homo sapiens,,Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18470466,48.0
GCA_019970795.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2004-07,Colombia: Antioquia,Homo sapiens,,Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18211545,48.0
GCA_019970885.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-09-14,Contig,2003-07,Colombia: Norte de santander,Homo sapiens,,Criptococosis,,human,Pontificia Universidad Javeriana,university,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,PRJNA669191,18483544,48.0
GCA_020975435.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2001/2002,USA: Duke Hospital,Homo sapiens,clinical isolate,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18816916,48.0
GCA_020975485.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2001/2002,USA: Duke Hospital,Homo sapiens,clinical isolate,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18794668,48.0
GCA_020975495.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2001/2002,USA: North Carolina,Homo sapiens,dried pigeon excreta,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18778437,48.0
GCA_020975525.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2001/2002,USA: Duke Hospital,Homo sapiens,clinical isolate,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18196397,48.0
GCA_020975545.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2020-09-17,Australia: Melbourne,Homo sapiens,MSH2 deletion mutant,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18879901,48.0
GCA_020975565.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2001/2002,USA: Duke Hospital,Homo sapiens,clinical isolate,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18877040,48.0
GCA_020975585.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2020-09-17,Australia: Melbourne,Homo sapiens,MSH2 deletion mutant,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18880438,48.0
GCA_020975605.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Complete Genome,2020-09-17,Australia: Melbourne,Homo sapiens,MSH2 deletion mutant,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18880109,48.0
GCA_020975615.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Complete Genome,2020-09-17,Australia: Melbourne,Homo sapiens,MSH2 deletion mutant,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18880862,48.0
GCA_020975645.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Complete Genome,2020-09-17,Australia: Melbourne,Homo sapiens,MSH2 deletion mutant,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18879682,48.0
GCA_020975665.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Complete Genome,2020-09-17,Australia: Melbourne,Homo sapiens,MSH2 deletion mutant,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18880029,48.0
GCA_020975675.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2020-09-17,Australia: Melbourne,Homo sapiens,MSH2 deletion mutant,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18879988,48.0
GCA_020975705.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2021-11-30,Chromosome,2020-09-17,Australia: Melbourne,Homo sapiens,MSH2 deletion mutant,cryptococcosis,,human,RMIT University,university,RMIT University,RMIT University,PRJNA664881,18541876,48.0
GCA_022832995.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2022-04-07,Complete Genome,2000,USA: Boston,Cockatoo,Cockatoo excrement,,,animal,Broad Institute,research_institute,Broad Institute,Broad Institute,PRJNA783275,18957373,48.0
GCA_023650535.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2022-06-06,Complete Genome,,Botswana,,clinical,,,human,Duke University,university,Duke University,Duke University,PRJNA749953,19745413,48.5
GCA_023650555.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2022-06-06,Complete Genome,,Botswana,,clinical,,,human,Duke University,university,Duke University,Duke University,PRJNA749953,19744147,48.5
GCA_023650575.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2022-06-06,Complete Genome,,Botswana,,clinical,,,human,Duke University,university,Duke University,Duke University,PRJNA749953,19045500,48.5
GCA_023650595.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2022-06-06,Complete Genome,,Botswana,,clinical,,,human,Duke University,university,Duke University,Duke University,PRJNA749953,19090430,48.5
GCA_025531435.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2022-10-03,Scaffold,2019,China:Dalian,Homo sapiens,feces,,hunan feces,human,Dalian Medical University,university,Dalian Medical University,Dalian Medical University,PRJNA833221,28035211,48.5
GCA_025531515.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2022-10-03,Scaffold,2019,China:Dalian,Homo sapiens,feces,,hunan feces,human,Dalian Medical University,university,Dalian Medical University,Dalian Medical University,PRJNA833221,28051506,48.5
GCA_028975465.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-02-28,Contig,2021-08-05,USA,Homo sapiens,,,,human,Zymo Research Corporation,commercial,Zymo Research Corporation,Zymo Research Corporation,PRJNA933709,26305994,48.5
GCA_028982725.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-03-06,Chromosome,2021-12-01,Taiwan,Homo sapiens,cerebrospinal fluid,cryptococcal meningitis,,human,National Chung Cheng University,university,National Chung Cheng University,National Chung Cheng University,PRJNA886849,19272264,48.0
GCA_030913545.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-08-24,Contig,2018-10-29,China: Beijing,Homo sapiens,,HIV infection,,human,"Beijing Youan Hospital, Capital Medical University",hospital_clinical,"Beijing Youan Hospital, Capital Medical University","Beijing Youan Hospital, Capital Medical University",PRJNA935947,38838249,48.5
GCA_031840755.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2018,China:Jinhua,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18574875,48.0
GCA_031840765.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2018,China:Shaoxing,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18556050,48.0
GCA_031840775.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Hangzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18556423,48.0
GCA_031840785.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Hangzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18570351,48.0
GCA_031840795.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Hangzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18576189,48.0
GCA_031840855.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Huzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18566079,48.0
GCA_031840865.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Hangzhou,Homo sapiens,lung tissue,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18565163,48.0
GCA_031840875.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Jinhua,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18569707,48.0
GCA_031840885.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Hangzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18571066,48.0
GCA_031840895.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Hangzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18545855,48.0
GCA_031840955.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Jinhua,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18575990,48.0
GCA_031840965.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2016,China:Quzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18571608,48.0
GCA_031840975.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2016,China:Wenzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18564797,48.0
GCA_031840985.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2015,China:Hangzhou,Homo sapiens,blood,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18628731,48.0
GCA_031840995.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2014,China:Jiaxing,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18492880,48.0
GCA_031841035.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2014,China:Shaoxing,Homo sapiens,skin tissue,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18580668,48.0
GCA_031841055.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2013,China:Hangzhou,Homo sapiens,blood,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18573571,48.0
GCA_031841085.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2013,China:Hangzhou,Homo sapiens,CSF,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18573119,48.0
GCA_031841105.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2017,China:Hangzhou,Homo sapiens,blood,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18549027,48.0
GCA_031841185.1,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2023-09-22,Contig,2016,China:Quzhou,Homo sapiens,blood,,,human,Zhejiang University School of Medicine,hospital_clinical,Zhejiang University School of Medicine,Zhejiang University School of Medicine,PRJNA820589,18580476,48.0
